('Степанова Е.Ж.', 'Лебедев П.У.', 'Ижевск', 'Соловьёв Ц.П.')
('Михайлов Г.Д.', 'Дмитриева С.С.', 'Севастополь', 'Яковлев Ю.А.')
('Михайлов Г.Д.', 'Степанова Ж.Н.', 'Севастополь', 'Яковлев Ю.А.')
('Егоров Щ.В.', 'Андреева Е.М.', 'Краснодар', 'Павлов Ю.Ю.')
('Николаев Л.З.', 'Богданова Ф.В.', 'Сочи', 'Лебедев Ч.Ж.')
('Николаев Л.З.', 'Павлова В.С.', 'Сочи', 'Лебедев Ч.Ж.')
('Николаев Л.З.', 'Соколова Б.Н.', 'Сочи', 'Лебедев Ч.Ж.')
('Николаев Л.З.', 'Фёдорова У.Ю.', 'Сочи', 'Лебедев Ч.Ж.')
('Соколов Ю.Я.', 'Соловьёв Х.Ч.', 'Барнаул', 'Яковлев Ю.А.')
('Семёнов О.Р.', 'Александров Ч.А.', 'Ижевск', 'Дмитриев Л.В.')
('Павлова О.Т.', 'Яковлева Х.Д.', 'Санкт-Петербург', 'Яковлев Ю.А.')
('Николаев В.Я.', 'Егорова Б.И.', 'Санкт-Петербург', 'Николаева Ц.Ф.')
('Семёнов Щ.Б.', 'Иванов Э.З.', 'Мурманск', 'Павлов Ю.Ю.')
('Иванов Б.Ш.', 'Смирнов Х.Ю.', 'Архангельск', 'Степанова Х.Р.')
('Иванов Б.Ш.', 'Яковлева Э.Г.', 'Архангельск', 'Степанова Х.Р.')
('Дмитриева И.Р.', 'Богданов Я.М.', 'Севастополь', 'Васильева К.И.')
('Кузнецова Л.Л.', 'Волкова Р.И.', 'Ижевск', 'Яковлев Ю.А.')
('Кузнецова Ц.Э.', 'Григорьев Т.Я.', 'Ялта', 'Алексеев Х.В.')
('Кузнецова Щ.Ж.', 'Дмитриева Ю.Ю.', 'Иркутск', 'Степанова Х.Р.')
('Кузнецова Щ.Ж.', 'Павлов М.К.', 'Иркутск', 'Степанова Х.Р.')
('Кузнецова Щ.Ж.', 'Соловьёв Н.О.', 'Иркутск', 'Степанова Х.Р.')
('Васильева Ф.Ч.', 'Семёнов Ч.Ш.', 'Барнаул', 'Николаева Щ.Э.')
('Семёнов К.К.', 'Попова Ж.Ц.', 'Ярославль', 'Александров Щ.Ю.')
('Волкова Е.Н.', 'Павлов О.Ш.', 'Архангельск', 'Николаева Щ.Э.')
('Степанова Ж.Н.', 'Дмитриева С.С.', 'Севастополь', 'Яковлев Ю.А.')
('Кузнецов П.М.', 'Иванова Ж.Н.', 'Барнаул', 'Михайлова Р.А.')
('Богданов М.Л.', 'Андреев П.Ю.', 'Иркутск', 'Васильева К.И.')
('Смирнова В.Д.', 'Никитина Т.Д.', 'Ярославль', 'Степанова Х.Р.')
('Петров Д.Е.', 'Васильева Т.Е.', 'Ижевск', 'Александрова П.П.')
('Петров Д.Е.', 'Павлова Р.Я.', 'Ижевск', 'Александрова П.П.')
('Соловьёв Н.Ш.', 'Никитина Г.А.', 'Мурманск', 'Яковлев Щ.Р.')
('Григорьева Ю.З.', 'Смирнова П.Щ.', 'Краснодар', 'Яковлев Ю.А.')
('Васильева Э.М.', 'Васильева О.К.', 'Санкт-Петербург', 'Степанова Д.К.')
('Смирнова Ш.Ф.', 'Егорова Г.Р.', 'Барнаул', 'Павлов Ю.Ю.')
('Лебедева Ч.Д.', 'Алексеев М.С.', 'Ижевск', 'Николаева Щ.Э.')
('Никитин Ж.Ж.', 'Степанов Э.Ж.', 'Ялта', 'Лебедев Ч.Ж.')
('Никитин Ж.Ж.', 'Яковлева Г.Ю.', 'Ялта', 'Лебедев Ч.Ж.')
('Дмитриев Ф.У.', 'Лебедев Г.К.', 'Ижевск', 'Васильева К.И.')
('Дмитриев Ж.Д.', 'Иванова Э.Э.', 'Ярославль', 'Михайлова Р.А.')
('Васильева Э.Л.', 'Фёдорова А.Ю.', 'Краснодар', 'Лебедев Ч.Ж.')
('Алексеев С.М.', 'Степанова Г.Ц.', 'Ялта', 'Николаева Щ.Э.')
('Алексеев С.М.', 'Яковлева Ж.С.', 'Ялта', 'Николаева Щ.Э.')
('Степанов Д.Ч.', 'Андреева Ц.Х.', 'Сочи', 'Васильева К.И.')
('Степанов Д.Ч.', 'Кузнецов Р.С.', 'Сочи', 'Васильева К.И.')
('Степанов Д.Ч.', 'Соловьёв Д.Ф.', 'Сочи', 'Васильева К.И.')
('Петрова А.Д.', 'Попов Г.Х.', 'Сочи', 'Николаева Ц.Ф.')
('Алексеева Х.Т.', 'Алексеева М.З.', 'Омск', 'Григорьева Б.С.')
('Алексеева Х.Т.', 'Смирнова И.К.', 'Омск', 'Григорьева Б.С.')
('Лебедева Ш.К.', 'Яковлева Х.Э.', 'Москва', 'Николаева Щ.Э.')
('Волкова Щ.Ч.', 'Михайлова М.Х.', 'Ярославль', 'Васильева К.И.')
('Волкова Щ.Ч.', 'Соколов Л.Г.', 'Ярославль', 'Васильева К.И.')
('Алексеев Е.К.', 'Богданова Б.Щ.', 'Севастополь', 'Яковлев Щ.Р.')
('Петров Е.П.', 'Михайлова Н.Ф.', 'Сочи', 'Егоров Л.Б.')
('Николаева Б.М.', 'Михайлов Ч.Е.', 'Мурманск', 'Михайлова Р.А.')
('Богданова Ф.В.', 'Павлова В.С.', 'Сочи', 'Лебедев Ч.Ж.')
('Богданова Ф.В.', 'Соколова Б.Н.', 'Сочи', 'Лебедев Ч.Ж.')
('Богданова Ф.В.', 'Фёдорова У.Ю.', 'Сочи', 'Лебедев Ч.Ж.')
('Попова Я.З.', 'Александров Ц.Ж.', 'Краснодар', 'Дмитриев Л.В.')
('Павлова Р.Я.', 'Васильева Т.Е.', 'Ижевск', 'Александрова П.П.')
('Соколова Б.Н.', 'Павлова В.С.', 'Сочи', 'Лебедев Ч.Ж.')
('Соколова Б.Н.', 'Фёдорова У.Ю.', 'Сочи', 'Лебедев Ч.Ж.')
('Григорьев Ц.Л.', 'Алексеев Д.Ч.', 'Ярославль', 'Соловьёв Ц.П.')
('Григорьев Ц.Л.', 'Дмитриев Ю.Е.', 'Ярославль', 'Соловьёв Ц.П.')
('Волкова Ю.Р.', 'Павлова Д.Х.', 'Сочи', 'Павлов Ю.Ю.')
('Семёнов Г.П.', 'Андреев Т.Ю.', 'Иркутск', 'Лебедев Ч.Ж.')
('Петрова Г.Я.', 'Богданова Д.Ж.', 'Краснодар', 'Васильева К.И.')
('Петрова Г.Я.', 'Смирнова М.В.', 'Краснодар', 'Васильева К.И.')
('Волков К.Я.', 'Петров Х.Ч.', 'Севастополь', 'Лебедев Ч.Ж.')
('Попова И.Е.', 'Волкова Б.О.', 'Санкт-Петербург', 'Лебедев Ч.Ж.')
('Яковлева Г.Ю.', 'Степанов Э.Ж.', 'Ялта', 'Лебедев Ч.Ж.')
('Никитин Л.Х.', 'Лебедева Х.Р.', 'Москва', 'Дмитриев Л.В.')
('Никитин Л.Х.', 'Степанов Ю.А.', 'Москва', 'Дмитриев Л.В.')
('Смирнова И.К.', 'Алексеева М.З.', 'Омск', 'Григорьева Б.С.')
('Егорова П.А.', 'Степанова Ш.О.', 'Барнаул', 'Семёнова Ч.Э.')
('Павлов М.К.', 'Дмитриева Ю.Ю.', 'Иркутск', 'Степанова Х.Р.')
('Павлов М.К.', 'Соловьёв Н.О.', 'Иркутск', 'Степанова Х.Р.')
('Егорова Н.Л.', 'Александров Ф.Л.', 'Архангельск', 'Александрова П.П.')
('Егорова Н.Л.', 'Степанова Э.С.', 'Архангельск', 'Александрова П.П.')
('Петров Ф.Ш.', 'Фёдорова Ю.Д.', 'Ярославль', 'Яковлев Ю.А.')
('Петров Ф.Ш.', 'Яковлева Я.К.', 'Ярославль', 'Яковлев Ю.А.')
('Александров Ф.Л.', 'Степанова Э.С.', 'Архангельск', 'Александрова П.П.')
('Лебедева О.Ц.', 'Фёдорова М.Б.', 'Ижевск', 'Николаева Ц.Ф.')
('Соколов Л.Г.', 'Михайлова М.Х.', 'Ярославль', 'Васильева К.И.')
('Андреева Ц.Х.', 'Кузнецов Р.С.', 'Сочи', 'Васильева К.И.')
('Андреева Ц.Х.', 'Соловьёв Д.Ф.', 'Сочи', 'Васильева К.И.')
('Попова Я.А.', 'Волкова Э.Ю.', 'Краснодар', 'Егорова Я.У.')
('Попова Я.А.', 'Кузнецов Х.Э.', 'Краснодар', 'Егорова Я.У.')
('Богданова Д.Ж.', 'Смирнова М.В.', 'Краснодар', 'Васильева К.И.')
('Соловьёв Д.Ф.', 'Кузнецов Р.С.', 'Сочи', 'Васильева К.И.')
('Егоров О.Я.', 'Никитина В.Ч.', 'Ялта', 'Яковлев Ю.А.')
('Степанов Ю.А.', 'Лебедева Х.Р.', 'Москва', 'Дмитриев Л.В.')
('Фёдорова С.Ц.', 'Иванова Ц.Т.', 'Ялта', 'Егорова Я.У.')
('Фёдорова С.Ц.', 'Петров Б.Д.', 'Ялта', 'Егорова Я.У.')
('Дмитриева Ф.Я.', 'Андреев Р.Т.', 'Омск', 'Павлов Ю.Ю.')
('Фёдорова У.Ю.', 'Павлова В.С.', 'Сочи', 'Лебедев Ч.Ж.')
('Степанова Х.З.', 'Андреев Х.Щ.', 'Сочи', 'Александрова П.П.')
('Смирнов П.А.', 'Иванов А.А.', 'Санкт-Петербург', 'Яковлев Щ.Р.')
('Фёдорова Ю.Д.', 'Яковлева Я.К.', 'Ярославль', 'Яковлев Ю.А.')
('Григорьев О.К.', 'Александрова Б.Ф.', 'Архангельск', 'Александров Щ.Ю.')
('Смирнова З.П.', 'Васильева Г.Л.', 'Москва', 'Соловьёв Ц.П.')
('Петров К.С.', 'Степанова П.Е.', 'Краснодар', 'Николаева Ц.Ф.')
('Степанов Ю.Г.', 'Николаева Б.Э.', 'Архангельск', 'Алексеев Х.В.')
('Васильев Н.Б.', 'Степанов Б.Э.', 'Севастополь', 'Николаева Ц.Ф.')
('Соловьёва Б.Щ.', 'Петров Ю.Т.', 'Иркутск', 'Александров Щ.Ю.')
('Лебедева Т.О.', 'Фёдорова Ч.Ч.', 'Москва', 'Егорова Я.У.')
('Николаев Г.Е.', 'Соколов Э.Б.', 'Краснодар', 'Алексеев Х.В.')
('Дмитриева Ш.Л.', 'Петрова Э.П.', 'Иркутск', 'Егорова Я.У.')
('Попова А.Г.', 'Яковлева З.Ц.', 'Мурманск', 'Егоров Л.Б.')
('Соловьёва И.Д.', 'Дмитриев Ч.А.', 'Иркутск', 'Николаева Щ.Э.')
('Кузнецов Х.Э.', 'Волкова Э.Ю.', 'Краснодар', 'Егорова Я.У.')
('Лебедева Н.Д.', 'Андреева Щ.У.', 'Ялта', 'Павлов Ю.Ю.')
('Дмитриев Ю.Е.', 'Алексеев Д.Ч.', 'Ярославль', 'Соловьёв Ц.П.')
('Соловьёв Н.О.', 'Дмитриева Ю.Ю.', 'Иркутск', 'Степанова Х.Р.')
('Алексеева Ц.Л.', 'Андреева Ш.А.', 'Архангельск', 'Алексеева В.Ш.')
('Иванова Ц.Т.', 'Петров Б.Д.', 'Ялта', 'Егорова Я.У.')
('Яковлева Ж.С.', 'Степанова Г.Ц.', 'Ялта', 'Николаева Щ.Э.')
('Смирнов Х.Ю.', 'Яковлева Э.Г.', 'Архангельск', 'Степанова Х.Р.')
